fid,woeid,iso,places,foundry
2,34819256,RU,20,http://www.missionintegers.com/
4,34819258,RU,20,http://www.missionintegers.com/
11,34819260,RU,-1,http://www.missionintegers.com/
12,34819262,RU,20,http://www.missionintegers.com/
14,34819264,RU,20,http://www.missionintegers.com/
15,34819266,RU,0,http://www.missionintegers.com/
19,34819268,RU,0,http://www.missionintegers.com/
20,34819270,RU,20,http://www.missionintegers.com/
23,34819272,RU,20,http://www.missionintegers.com/
27,34819274,RU,0,http://www.missionintegers.com/
28,34819276,RU,20,http://www.missionintegers.com/
29,34819278,RU,20,http://www.missionintegers.com/
33,34819280,RU,20,http://www.missionintegers.com/
37,34819282,RU,20,http://www.missionintegers.com/
38,34819284,CN,-1,http://www.missionintegers.com/
41,34819286,RU,20,http://www.missionintegers.com/
42,34819288,CN,15,http://www.missionintegers.com/
47,34819290,RU,20,http://www.missionintegers.com/
48,34819292,RU,20,http://www.missionintegers.com/
52,34819294,RU,2,http://www.missionintegers.com/
63,34819296,RU,15,http://www.missionintegers.com/
72,34819298,CN,0,http://www.missionintegers.com/
76,34819300,MN,0,http://www.missionintegers.com/
77,34819302,CN,15,http://www.missionintegers.com/
81,34819304,RU,20,http://www.missionintegers.com/
84,34819306,CN,-1,http://www.missionintegers.com/
85,34819308,RU,15,http://www.missionintegers.com/
94,34819310,RU,15,http://www.missionintegers.com/
95,34819312,RU,20,http://www.missionintegers.com/
96,34819314,RU,-1,http://www.missionintegers.com/
104,34819316,RU,15,http://www.missionintegers.com/
105,34819318,CN,15,http://www.missionintegers.com/
106,34819320,CN,20,http://www.missionintegers.com/
107,34819322,CN,15,http://www.missionintegers.com/
108,34819324,KZ,15,http://www.missionintegers.com/
113,34819326,RU,0,http://www.missionintegers.com/
117,34819328,CN,-1,http://www.missionintegers.com/
120,34819330,RU,-1,http://www.missionintegers.com/
121,34819332,KZ,20,http://www.missionintegers.com/
125,34819334,CN,-1,http://www.missionintegers.com/
126,34819336,CN,-1,http://www.missionintegers.com/
127,34819338,RU,20,http://www.missionintegers.com/
128,34819340,RU,5,http://www.missionintegers.com/
135,34819342,CN,-1,http://www.missionintegers.com/
137,34819344,RU,20,http://www.missionintegers.com/
138,34819346,RU,5,http://www.missionintegers.com/
140,34819348,RU,20,http://www.missionintegers.com/
142,34819350,KZ,-1,http://www.missionintegers.com/
146,34819352,KZ,-1,http://www.missionintegers.com/
147,34819354,KZ,-1,http://www.missionintegers.com/
150,34819356,RU,15,http://www.missionintegers.com/
154,34819358,RU,15,http://www.missionintegers.com/
157,34819360,RU,6,http://www.missionintegers.com/
159,34819362,RU,15,http://www.missionintegers.com/
167,34819364,RU,6,http://www.missionintegers.com/
168,34819366,KZ,-1,http://www.missionintegers.com/
169,34819368,RU,15,http://www.missionintegers.com/
170,34819370,KZ,-1,http://www.missionintegers.com/
171,34819372,KZ,-1,http://www.missionintegers.com/
172,34819374,RU,5,http://www.missionintegers.com/
174,34819376,RU,15,http://www.missionintegers.com/
178,34819378,KZ,15,http://www.missionintegers.com/
183,34819380,KZ,15,http://www.missionintegers.com/
184,34819382,KZ,-1,http://www.missionintegers.com/
195,34819384,RU,6,http://www.missionintegers.com/
196,34819386,UZ,15,http://www.missionintegers.com/
197,34819388,RU,15,http://www.missionintegers.com/
199,34819390,KZ,20,http://www.missionintegers.com/
204,34819392,KG,0,http://www.missionintegers.com/
209,34819394,KG,20,http://www.missionintegers.com/
210,34819396,UZ,20,http://www.missionintegers.com/
212,34819398,KZ,20,http://www.missionintegers.com/
219,34819400,GE,15,http://www.missionintegers.com/
221,34819402,GE,15,http://www.missionintegers.com/
224,34819404,TM,20,http://www.missionintegers.com/
227,34819406,GE,5,http://www.missionintegers.com/
228,34819408,CN,20,http://www.missionintegers.com/
229,34819410,CN,-1,http://www.missionintegers.com/
230,34819412,KG,-1,http://www.missionintegers.com/
239,34819414,GE,15,http://www.missionintegers.com/
241,34819416,KG,20,http://www.missionintegers.com/
242,34819418,UZ,15,http://www.missionintegers.com/
243,34819420,UZ,15,http://www.missionintegers.com/
246,34819422,CN,-1,http://www.missionintegers.com/
249,34819424,CN,20,http://www.missionintegers.com/
254,34819426,UZ,0,http://www.missionintegers.com/
256,34819428,UZ,20,http://www.missionintegers.com/
257,34819430,UZ,15,http://www.missionintegers.com/
261,34819432,UZ,0,http://www.missionintegers.com/
270,34819434,UZ,0,http://www.missionintegers.com/
272,34819436,AZ,15,http://www.missionintegers.com/
274,34819438,AM,20,http://www.missionintegers.com/
279,34819440,UZ,-1,http://www.missionintegers.com/
285,34819442,KG,20,http://www.missionintegers.com/
287,34819444,TJ,-1,http://www.missionintegers.com/
288,34819446,UZ,15,http://www.missionintegers.com/
289,34819448,UZ,20,http://www.missionintegers.com/
290,34819450,TR,15,http://www.missionintegers.com/
292,34819452,UZ,6,http://www.missionintegers.com/
295,34819454,UZ,0,http://www.missionintegers.com/
299,34819456,UZ,0,http://www.missionintegers.com/
301,34819458,KG,15,http://www.missionintegers.com/
303,34819460,UZ,0,http://www.missionintegers.com/
311,34819462,UZ,15,http://www.missionintegers.com/
320,34819464,TJ,15,http://www.missionintegers.com/
324,34819466,KG,0,http://www.missionintegers.com/
326,34819468,UZ,15,http://www.missionintegers.com/
328,34819470,UZ,15,http://www.missionintegers.com/
333,34819472,UZ,-1,http://www.missionintegers.com/
334,34819474,UZ,-1,http://www.missionintegers.com/
336,34819476,UZ,15,http://www.missionintegers.com/
337,34819478,TJ,-1,http://www.missionintegers.com/
339,34819480,TJ,-1,http://www.missionintegers.com/
344,34819482,TJ,-1,http://www.missionintegers.com/
347,34819484,TJ,2,http://www.missionintegers.com/
350,34819486,TJ,-1,http://www.missionintegers.com/
353,34819488,UZ,15,http://www.missionintegers.com/
355,34819490,AZ,20,http://www.missionintegers.com/
357,34819492,UZ,20,http://www.missionintegers.com/
359,34819494,UZ,-1,http://www.missionintegers.com/
360,34819496,UZ,15,http://www.missionintegers.com/
365,34819498,IR,15,http://www.missionintegers.com/
371,34819500,TR,20,http://www.missionintegers.com/
373,34819502,UZ,-1,http://www.missionintegers.com/
375,34819504,UZ,15,http://www.missionintegers.com/
377,34819506,IR,-1,http://www.missionintegers.com/
378,34819508,IR,20,http://www.missionintegers.com/
381,34819510,TJ,15,http://www.missionintegers.com/
389,34819512,IR,-1,http://www.missionintegers.com/
390,34819514,IR,0,http://www.missionintegers.com/
392,34819516,TM,20,http://www.missionintegers.com/
394,34819518,UZ,15,http://www.missionintegers.com/
395,34819520,TM,-1,http://www.missionintegers.com/
398,34819522,TJ,20,http://www.missionintegers.com/
400,34819524,UZ,0,http://www.missionintegers.com/
404,34819526,TR,15,http://www.missionintegers.com/
408,34819528,TM,-1,http://www.missionintegers.com/
409,34819530,IR,0,http://www.missionintegers.com/
411,34819532,TM,-1,http://www.missionintegers.com/
413,34819534,TM,20,http://www.missionintegers.com/
414,34819536,IR,15,http://www.missionintegers.com/
417,34819538,AF,-1,http://www.missionintegers.com/
419,34819540,TR,5,http://www.missionintegers.com/
423,34819542,CN,15,http://www.missionintegers.com/
425,34819544,IR,20,http://www.missionintegers.com/
428,34819546,IR,15,http://www.missionintegers.com/
429,34819548,IR,15,http://www.missionintegers.com/
432,34819550,IR,20,http://www.missionintegers.com/
435,34819552,AF,15,http://www.missionintegers.com/
