geonames_id,osm_id,wikipedia_id,woe_id,name,iso,is_megacity,latitude,longitude
3443341,332605466,5519814,468059,"Carmelo, Colonia, Uruguay",URY,0,-33.9896191215,-58.2999921078
3440639,302608868,1498257,468798,"San Jose de Mayo, San José, Uruguay",URY,0,-34.3499588839,-56.7099858008
3443758,416470120,0,380894,"Artigas, Artigas, Uruguay",URY,0,-30.4159871228,-56.4860201432
3443697,0,0,468083,"Baltasar Brum, Artigas, Uruguay",URY,0,-30.7300248019,-57.3199744076
3443631,415689707,3849136,468084,"Bella Union, Artigas, Uruguay",URY,0,-30.2596142387,-57.5999573177
3441684,332598161,2227853,468067,"Mercedes, Soriano, Uruguay",URY,0,-33.2595344861,-58.029982749
3441702,0,2227789,468066,"Melo, Cerro Largo, Uruguay",URY,0,-32.3594860649,-54.1799851904
3439787,416475285,0,468048,"Tranqueras, Rivera, Uruguay",URY,0,-31.2000219536,-55.7499668799
3440781,0,2227881,468053,"Rivera, Rivera, Uruguay",URY,0,-30.8995751762,-55.5600043148
3440034,302666274,924273,468077,"Tacuarembo, Tacuarembó, Uruguay",URY,0,-31.7099649874,-55.9800045182
3441273,0,7539132,468070,"Paso de los Toros, Tacuarembó, Uruguay",URY,0,-32.8100012016,-56.5100496843
3439622,0,0,380906,"Vergara, Treinta y Tres, Uruguay",URY,0,-32.9299938774,-53.9499992285
3439781,0,2005903,468078,"Treinta y Tres, Treinta y Tres, Uruguay",URY,0,-33.2300272433,-54.3800246598
3440571,302610183,0,468076,"Santa Lucia, Canelones, Uruguay",URY,0,-34.4700032361,-56.3999788835
3442233,433999769,0,468794,"Jose Batlle y Ordonez, Lavalleja, Uruguay",URY,0,-33.4700125948,-55.120005332
3441665,347693883,2227811,468068,"Minas, Lavalleja, Uruguay",URY,0,-34.3700093396,-55.2300244564
3441894,302611004,4228526,468065,"Maldonado, Maldonado, Uruguay",URY,0,-34.9100280571,-54.9599892594
3440939,302611023,1405070,468108,"Punta del Este, Maldonado, Uruguay",URY,0,-34.9699727185,-54.9499898698
3443909,0,21162137,468082,"Aigua, Maldonado, Uruguay",URY,0,-34.1999938774,-54.7500020768
3442105,332286942,0,380901,"La Paloma, Rocha, Uruguay",URY,0,-34.6699910291,-54.1699858008
3442071,0,0,468064,"Lascano, Rocha, Uruguay",URY,0,-33.6695869764,-54.2000098079
3443289,0,0,380895,"Castillos, Rocha, Uruguay",URY,0,-34.1696081352,-53.8299807145
3440777,321555078,17127707,468073,"Rocha, Rocha, Uruguay",URY,0,-34.4829740206,-54.3330249447
5026291,151821686,121567,2402306,"Faribault, Minnesota, United States of America",USA,0,44.2904864696,-93.2680127378
5051468,151483691,121796,2512626,"Virginia, Minnesota, United States of America",USA,0,47.5236741324,-92.5364036476
5053156,151799511,9998220,2522207,"Winona, Minnesota, United States of America",USA,0,44.0504236034,-91.6391974302
5043473,151937964,121052,2482950,"Rochester, Minnesota, United States of America",USA,0,44.0220532421,-92.4696893735
5034059,151902523,119900,2435703,"Lakeville, Minnesota, United States of America",USA,0,44.6501027619,-93.2425104185
5025627,151499170,15239003,2399258,"Ely, Minnesota, United States of America",USA,0,47.900421162,-91.8256976743
5036420,151366161,150578,2444832,"Mankato, Minnesota, United States of America",USA,0,44.1636208283,-93.9991567401
5016024,151917798,120042,2352719,"Albert Lea, Minnesota, United States of America",USA,0,43.6477866812,-93.3687042661
5052916,151466993,120452,2521015,"Willmar, Minnesota, United States of America",USA,0,45.1218827505,-95.0433048927
5019116,151584460,119842,2368028,"Brainerd, Minnesota, United States of America",USA,0,46.3580088492,-94.2008498553
5023465,151593394,121347,2387465,"Crookston, Minnesota, United States of America",USA,0,47.7737622264,-96.6077313657
5038108,151408254,119765,2453840,"Moorhead, Minnesota, United States of America",USA,0,46.8743080842,-96.7421934426
5044407,151939365,9998624,2486726,"St. Cloud, Minnesota, United States of America",USA,0,45.5612099397,-94.1622217222
5656170,151449731,123328,2417424,"Hardin, Montana, United States of America",USA,0,45.7317680044,-107.612486004
5654391,151363761,123372,2411128,"Glendive, Montana, United States of America",USA,0,47.10858319,-104.710492596
5648657,150962155,123322,2392109,"Dillon, Montana, United States of America",USA,0,45.2156754751,-112.683985231
5671996,82762322,124891,2474834,"Polson, Montana, United States of America",USA,0,47.6880051871,-114.156686037
5666176,151344229,123369,2450922,"Miles City, Montana, United States of America",USA,0,46.4088842968,-105.839984377
5641727,82765727,123391,2367749,"Bozeman, Montana, United States of America",USA,0,45.6800915721,-111.037832481
5654320,151413539,123645,2410627,"Glasgow, Montana, United States of America",USA,0,48.183969746,-106.635258832
5642934,90641666,257453,2372641,"Butte, Montana, United States of America",USA,0,46.0038960969,-112.533839357
5058868,151705317,9999472,2391682,"Devils Lake, North Dakota, United States of America",USA,0,48.1122170197,-98.8596869321
5688789,151925682,128783,2391998,"Dickinson, North Dakota, United States of America",USA,0,46.8839974152,-102.788801109
5059836,151445074,128800,2428576,"Jamestown, North Dakota, United States of America",USA,0,46.9060115754,-98.7029781512
5692947,151816328,128870,2521000,"Williston, North Dakota, United States of America",USA,0,48.1567879426,-103.628000531
5059429,0,0,2412788,"Grand Forks, North Dakota, United States of America",USA,0,47.9252775259,-97.032485801
5850248,150919546,110558,2439231,"Lihue, Hawaii, United States of America",USA,0,21.981512267,-159.371006309
5853992,150917236,110533,2513109,"Wahiawa, Hawaii, United States of America",USA,0,21.5030918569,-158.023620852
5854496,150921313,110588,2513171,"Wailuku, Hawaii, United States of America",USA,0,20.8914754425,-156.504721316
5587385,150937074,110663,2372038,"Burley, Idaho, United States of America",USA,0,42.5358132111,-113.791876263
0,0,0,2513611,"Wallace, Idaho, United States of America",USA,0,47.4742197867,-115.926888063
5601299,150946881,110607,2453514,"Montpelier, Idaho, United States of America",USA,0,42.3226220897,-111.296912274
5610810,150964368,110784,2509104,"Twin Falls, Idaho, United States of America",USA,0,42.5609537954,-114.460569297
5587698,59905163,110651,2373173,"Caldwell, Idaho, United States of America",USA,0,43.6609641714,-116.670537762
5606275,150937045,110739,2487533,"Salmon, Idaho, United States of America",USA,0,45.1756779165,-113.894996584
5589173,150937239,110718,2382526,"Coeur d'Alene, Idaho, United States of America",USA,0,47.6780833121,-116.779445843
5604045,82773480,110604,2474465,"Pocatello, Idaho, United States of America",USA,0,42.871348286,-112.44472335
5799610,150980157,91218,2431572,"Kennewick, Washington, United States of America",USA,0,46.2113769725,-119.136097862
5789683,132601993,138077,2377644,"Centralia, Washington, United States of America",USA,0,46.7164107453,-122.952970827
5808276,150981591,57637,2480846,"Richland, Washington, United States of America",USA,0,46.2918113394,-119.29110132
5786899,40207774,39300,2362060,"Bellingham, Washington, United States of America",USA,0,48.7601361278,-122.486926922
5801617,132646143,137888,2441760,"Longview, Washington, United States of America",USA,0,46.1387199087,-122.936951133
5814916,111297040,138300,2513583,"Walla Walla, Washington, United States of America",USA,0,46.0651585074,-118.341882774
5785243,150962066,137935,2351564,"Aberdeen, Washington, United States of America",USA,0,46.9748962596,-123.814391115
5788054,111223975,138041,2368481,"Bremerton, Washington, United States of America",USA,0,47.5735955236,-122.642017533
5793933,48718610,21131991,2400849,"Everett, Washington, United States of America",USA,0,47.9604174999,-122.199967694
5812944,256170687,138165,2503523,"Tacoma, Washington, United States of America",USA,0,47.2113159374,-122.515013063
5295985,150969901,106649,2411084,"Glendale, Arizona, United States of America",USA,0,33.5819411408,-112.195823814
5312476,151942412,106623,2486482,"Safford, Arizona, United States of America",USA,0,32.8338214305,-109.706880129
5288636,150976539,106746,2375847,"Casa Grande, Arizona, United States of America",USA,0,32.8793742056,-111.756625816
5304391,150966739,106653,2449808,"Mesa, Arizona, United States of America",USA,0,33.4239146108,-111.736084434
5301388,150938231,106675,2434938,"Lake Havasu City, Arizona, United States of America",USA,0,34.4982934764,-114.308278851
5287565,150952018,106669,2371675,"Bullhead City, Arizona, United States of America",USA,0,35.1481762889,-114.567487836
0,0,0,2522240,"Winslow, Arizona, United States of America",USA,0,35.284705423,-110.700695436
5295860,150965671,106647,2410106,"Gila Bend, Arizona, United States of America",USA,0,32.9503776235,-112.724654584
5317714,150935673,106582,2507022,"Tombstone, Arizona, United States of America",USA,0,31.7131404816,-110.066883994
5321088,151841010,106584,2520683,"Willcox, Arizona, United States of America",USA,0,32.2532108755,-109.831394492
0,0,0,2490057,"Scottsdale, Arizona, United States of America",USA,0,33.6923478384,-111.868040204
5301067,150932374,106674,2432557,"Kingman, Arizona, United States of America",USA,0,35.1898791698,-114.052222129
5296409,0,0,0,"Grand Canyon, Arizona, United States of America",USA,0,36.054787617,-112.138592165
5322053,150981517,106806,2525141,"Yuma, Arizona, United States of America",USA,0,32.6852775259,-114.623608441
5309842,150938690,106793,2476440,"Prescott, Arizona, United States of America",USA,0,34.5900191437,-112.447772259
5327684,100571506,0,2362930,"Berkeley, California, United States of America",USA,0,37.8739013866,-122.271151979
5376200,150939407,108052,2457268,"National City, California, United States of America",USA,0,32.6719450063,-117.09800521
0,0,0,2449396,"Mendocino, California, United States of America",USA,0,39.3077673534,-123.799430788
5558953,141029389,107469,2355561,"Arcata, California, United States of America",USA,0,40.8851904491,-124.08822453
5381438,150941879,0,2469027,"Paso Robles, California, United States of America",USA,0,35.6265966991,-120.689982342
5387877,150935360,10485461,2482250,"Riverside, California, United States of America",USA,0,33.9419450063,-117.398038576
5342485,150946164,107527,2390746,"Delano, California, United States of America",USA,0,35.7619372752,-119.243068076
5392423,29891775,108124,2488142,"San Mateo, California, United States of America",USA,0,37.5569181509,-122.313061566
5405380,150959795,60866,2510744,"Vallejo, California, United States of America",USA,0,38.1119488719,-122.258052004
0,0,0,2500105,"Stockton, California, United States of America",USA,0,37.9581339712,-121.289739016
5326297,59951238,107985,2359634,"Barstow, California, United States of America",USA,0,34.8990183706,-117.021885825
5406222,150937470,10473788,2512106,"Victorville, California, United States of America",USA,0,34.5365081981,-117.290319053
5381396,16224329,92408,2468964,"Pasadena, California, United States of America",USA,0,34.1603812856,-118.138871909
5406567,150980416,108312,2512682,"Visalia, California, United States of America",USA,0,36.3250295197,-119.316009361
5391710,150958886,108016,2487870,"San Bernardino, California, United States of America",USA,1,34.120383727,-117.300034222
5345609,150965029,107491,2397747,"El Centro, California, United States of America",USA,0,32.7923769318,-115.558047528
5392323,150947906,108096,2488117,"San Luis Obispo, California, United States of America",USA,0,35.2831809683,-120.65858891
5372253,26626157,43896,2449492,"Merced, California, United States of America",USA,0,37.3026184276,-120.481933026
5411015,141032858,108275,2525107,"Yuba City, California, United States of America",USA,0,39.1410333446,-121.615765627
5570160,141046296,108196,2479567,"Redding, California, United States of America",USA,0,40.587043273,-122.390576214
5393287,150934574,108243,2488916,"Santa Rosa, California, United States of America",USA,0,38.4504036652,-122.699988853
5378771,150946956,108053,2464118,"Oceanside, California, United States of America",USA,0,33.2204644969,-117.33496749
5373900,150938628,108259,2452629,"Modesto, California, United States of America",USA,0,37.6554134308,-120.98998987
5359777,33151245,0,2427665,"Irvine, California, United States of America",USA,0,33.6804105825,-117.829950197
5404476,141036645,107751,2509496,"Ukiah, California, United States of America",USA,0,39.154236673,-123.210862062
5376358,150941687,10473697,2457519,"Needles, California, United States of America",USA,0,34.8484271434,-114.613350669
5328808,96907196,107503,2364651,"Bishop, California, United States of America",USA,0,37.3639583527,-118.39407597
5380668,670948,10311463,2467696,"Palm Springs, California, United States of America",USA,0,33.7773555695,-116.533052614
5393180,150977729,108140,2488888,"Santa Maria, California, United States of America",USA,0,34.9401269725,-120.436638633
5403783,150947098,108311,2508485,"Tulare, California, United States of America",USA,0,36.2070263866,-119.34412134
5568295,147133476,108215,2455436,"Mt. Shasta, California, United States of America",USA,0,41.3103582958,-122.309392539
5562087,147132414,107426,2386992,"Crescent City, California, United States of America",USA,0,41.7564550975,-124.200491579
5367929,34013928,967558,2441472,"Long Beach, California, United States of America",USA,0,33.7869673859,-118.158043866
5423092,151468151,8988432,2411457,"Glenwood Springs, Colorado, United States of America",USA,0,39.5465899852,-107.324699953
5412347,0,108353,2357473,"Aurora, Colorado, United States of America",USA,0,39.6958573599,-104.80849695
5577592,151437230,108672,2413643,"Greeley, Colorado, United States of America",USA,0,40.4191982209,-104.739974001
5577147,60327890,11507,2405641,"Fort Collins, Colorado, United States of America",USA,0,40.5606882925,-105.058869265
5435464,151776380,24158,2477147,"Pueblo, Colorado, United States of America",USA,0,38.280388203,-104.630006553
5427957,151563865,10455422,2435879,"Lamar, Colorado, United States of America",USA,0,38.086498229,-102.619405764
5442007,151479029,108565,2508006,"Trinidad, Colorado, United States of America",USA,0,37.1713344513,-104.506396527
5424099,151588768,108517,2415683,"Gunnison, Colorado, United States of America",USA,0,38.5447648306,-106.928290041
5420241,151707021,108548,2394672,"Durango, Colorado, United States of America",USA,0,37.2756433299,-107.879989056
5431710,151814691,108594,2453565,"Montrose, Colorado, United States of America",USA,0,38.47727541,-107.865519655
5576064,151352266,108588,2386575,"Craig, Colorado, United States of America",USA,0,40.5172800894,-107.550396771
5574991,151932773,94341,2367231,"Boulder, Colorado, United States of America",USA,0,40.0384462678,-105.246092979
5423573,151684091,108583,2412807,"Grand Junction, Colorado, United States of America",USA,0,39.0938527619,-108.549999839
5513795,150941645,124453,2507093,"Tonopah, Nevada, United States of America",USA,0,38.0669903758,-117.228979128
5500539,150963302,124358,2367248,"Boulder City, Nevada, United States of America",USA,0,35.9789524526,-114.831580243
5710360,150953992,124431,2522153,"Winnemucca, Nevada, United States of America",USA,0,40.9733762808,-117.734684694
5503694,150976017,124479,2399257,"Ely, Nevada, United States of America",USA,0,39.2470217072,-114.88767501
5501344,150939853,7441,2375607,"Carson City, Nevada, United States of America",USA,0,39.1638484894,-119.766395306
5464806,151533374,18952840,2391029,"Deming, New Mexico, United States of America",USA,0,32.2610915314,-107.755784751
5495292,151887868,126033,2508318,"Truth or Consequences, New Mexico, United States of America",USA,0,33.1335964142,-107.25289555
5475433,151761248,125983,2436703,"Las Vegas, New Mexico, United States of America",USA,0,35.5970119416,-105.222502687
5467328,151346348,125969,2402460,"Farmington, New Mexico, United States of America",USA,0,36.7541506134,-108.186094403
5488441,151696224,26186,2485063,"Roswell, New Mexico, United States of America",USA,0,33.3945365591,-104.522467897
5462393,151350217,125864,2382069,"Clovis, New Mexico, United States of America",USA,0,34.4050691925,-103.20477055
5475352,151934445,125874,2436669,"Las Cruces, New Mexico, United States of America",USA,0,32.3126129344,-106.77780827
